pgid;startdatum;einddatum;eind_winter;begin_zomer;eind_zomer;begin_winter;zomerpeil;winterpeil;2e marge onder;1e marge onder;1e marge boven;2e marge boven
PG0566;20190101;20231023;01-04;01-05;01-09;01-10;1.5;1.25;25;10;10;25
PG2077;20190101;20231031;01-04;01-05;01-09;01-10;0.915;0.915;25;50.5;50.5;25
PG0064;20190101;20230717;01-04;01-05;01-09;01-10;1.65;1.45;25;10;10;25
PG0848;20190101;20230717;01-04;01-05;01-09;01-10;2;2;25;10;10;25
PG0656;20190101;20221115;01-04;01-05;01-09;01-10;1.3;1;25;10;10;25
PG0163;20190101;20221115;01-04;01-05;01-09;01-10;1;0.8;25;10;10;25
PG2199;20190101;20231031;01-04;01-05;01-09;01-10;-2.05;-2.05;25;10;10;25
PG0323;20190101;20271130;01-04;01-05;01-09;01-10;-0.5;-0.5;25;10;10;25
PG2406;20190101;20231023;01-04;01-05;01-09;01-10;1.8;1.6;25;10;10;25
PG0403;20190605;20220605;01-04;01-05;01-09;01-10;-1.8;-1.9;25;10;10;25
PG0403;20220605;20250605;01-04;01-05;01-09;01-10;-1.82;-1.92;25;10;10;25
PG0403;20250605;20280605;01-04;01-05;01-09;01-10;-1.84;-1.94;25;10;10;25
PG0403;20280605;20310605;01-04;01-05;01-09;01-10;-1.86;-1.96;25;10;10;25
PG2109;20190101;20230717;01-04;01-05;01-09;01-10;1.85;1.7;25;10;10;25
PG0061;20190101;20230717;01-04;01-05;01-09;01-10;1.55;1.45;25;10;10;25
PG0755;20190101;20250120;01-04;01-05;01-09;01-10;-2.1;-2.15;0;0;0;0
PG0390;20190101;20231023;01-04;01-05;01-09;01-10;0.2;0;25;10;10;25
PG0099;20190101;20230717;01-04;01-05;01-09;01-10;2.8;2.6;25;10;10;25
PG0015;20190101;20221115;01-04;01-05;01-09;01-10;2.4;2.15;25;10;10;25
PG0014;20190101;20221115;01-04;01-05;01-09;01-10;2.1;1.8;25;10;10;25
PG2338;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2337;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2335;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2336;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2334;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2333;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2332;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2419;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2331;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1193;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1844;20190101;20271101;01-04;01-05;01-09;01-10;-2.73;-2.83;25;10;10;25
PG0767;20190101;20230404;01-04;01-05;01-09;01-10;-1.3;-1.3;25;10;10;25
